Municipio,Grande regiao,Num Casos,Num obitos
Pradópolis,Interior,1,0
Praia Grande,Interior,98,14
Pratânia,Interior,2,0
Presidente Alves,Interior,1,0
Presidente Prudente,Interior,15,2
Presidente Venceslau,Interior,11,6
Promissão,Interior,3,0
Quatá,Interior,2,0
Quintana,Interior,1,0
Rancharia,Interior,3,0
Registro,Interior,8,3
Ribeirão Pires,RMSP,49,2
Ribeirão Preto,Interior,99,6
Rincão,Interior,1,1
Rinópolis,Interior,1,0
Rio Claro,Interior,16,7
Rio Grande da Serra,RMSP,18,0
Salesópolis,RMSP,1,1
Salto,Interior,6,0
Salto de Pirapora,Interior,8,0
Santa Bárbara d'Oeste,Interior,2,1
Santa Branca,Interior,2,1
Santa Cruz da Conceição,Interior,1,0
Santa Cruz do Rio Pardo,Interior,8,0
Santa Fé do Sul,Interior,2,0
Santa Gertrudes,Interior,1,0
Santa Isabel,RMSP,11,5
Santa Lúcia,Interior,4,0
Santa Rita do Passa Quatro,Interior,1,1
Santana de Parnaíba,RMSP,85,3
Santo André,RMSP,378,20
Santo Antônio da Alegria,Interior,1,1
Santo Antônio do Aracanguá,Interior,1,0
Santo Antônio do Pinhal,Interior,2,0
Santos,Interior,463,27
São Bernardo do Campo,RMSP,511,35
São Caetano do Sul,RMSP,138,9
São Carlos,Interior,15,3
São João da Boa Vista,Interior,15,0
São Joaquim da Barra,Interior,2,0
São José do Rio Pardo,Interior,3,0
São José do Rio Preto,Interior,82,8
São José dos Campos,Interior,185,5
São Lourenço da Serra,RMSP,3,1
São Manuel,Interior,7,1
São Miguel Arcanjo,Interior,3,0
São Paulo,Capital,13989,1172
São Pedro,Interior,1,0
São Roque,Interior,19,1
São Sebastião,Interior,29,2
São Sebastião da Grama,Interior,1,0
São Vicente,Interior,110,1
Serra Negra,Interior,1,0
Serrana,Interior,2,2
Sertãozinho,Interior,11,2
Socorro,Interior,1,0
Sorocaba,Interior,85,15
Sumaré,Interior,17,0
Suzano,RMSP,118,12
Taboão da Serra,RMSP,160,13
Taiaçu,Interior,2,0
Tanabi,Interior,1,0
Taquarituba,Interior,1,0
Tarabai,Interior,2,0
Tatuí,Interior,11,0
Taubaté,Interior,33,4
Terra Roxa,Interior,1,0
Tuiuti,Interior,1,0
Tupã,Interior,2,0
Ubatuba,Interior,12,0
Valinhos,Interior,22,4
Vargem Grande Paulista,RMSP,11,3
Várzea Paulista,Interior,12,2
Vinhedo,Interior,27,2
Vista Alegre do Alto,Interior,1,0
Votorantim,Interior,10,2
Votuporanga,Interior,16,0
