Municipio,Grande.regiao,Num.Casos,Num.obitos,Pop,Grau.Urb,Infect.100mil,obitos.100mil
Guararapes,Interior,5,0,32076,94.02,15.5879785509415,0
Guararema,RMSP,3,0,29429,86.05,10.1940263005879,0
Guaratinguetá,Interior,1,0,118345,95.37,0.844987113946512,0
Guarujá,Interior,120,4,316405,99.98,37.9260757573363,1.26420252524454
Guarulhos,RMSP,498,52,1351275,100,36.8540822556474,3.84821742428447
Guzolândia,Interior,1,0,5107,89.09,19.5809672997846,0
Holambra,Interior,1,0,14493,84.78,6.89988270199407,0
Hortolândia,Interior,21,1,230268,100,9.11980822346136,0.434276582069588
Ibirá,Interior,2,0,12059,93.45,16.5851231445393,0
Iepê,Interior,1,1,7921,92.84,12.6246686024492,12.6246686024492
Igaraçu do Tietê,Interior,1,0,24135,99.43,4.14336026517506,0
Igarapava,Interior,2,0,29456,95.46,6.78978815860945,0
Igaratá,Interior,2,0,9312,85.6,21.4776632302405,0
Iguape,Interior,5,0,29465,87.68,16.9692855930765,0
Ilha Comprida,Interior,13,1,10296,100,126.262626262626,9.71250971250971
Ilha Solteira,Interior,2,0,25748,93.84,7.76759359950287,0
Ilhabela,Interior,4,0,33470,99.31,11.9510008963251,0
Indaiatuba,Interior,16,4,242868,98.99,6.58794077441244,1.64698519360311
Iracemápolis,Interior,1,0,23654,98.24,4.22761477974127,0
Itajobi,Interior,2,0,14614,87.86,13.6855070480361,0
Itanhaém,Interior,9,2,98757,99.25,9.11327804611319,2.02517289913626
Itapecerica da Serra,RMSP,84,7,169619,99.17,49.5227539367642,4.12689616139701
Itapetininga,Interior,10,1,160150,92.03,6.24414611301904,0.624414611301904
Itapeva,Interior,4,0,91693,90.97,4.36238316992573,0
Itapevi,RMSP,88,14,237714,100,37.019275263552,5.88943015556509
Itapira,Interior,16,3,71500,93.74,22.3776223776224,4.1958041958042
Itaquaquecetuba,RMSP,87,11,370589,100,23.4761420333577,2.9682478432981
Itararé,Interior,1,0,49018,92.74,2.04006691419479,0
Itatiba,Interior,5,1,117916,87.13,4.24030665897758,0.848061331795515
Itatinga,Interior,1,0,20550,93.38,4.8661800486618,0
Itirapina,Interior,1,0,17162,92.49,5.82682671017364,0
Itu,Interior,8,1,169772,95.09,4.71220224772047,0.589025280965059
Itupeva,Interior,4,1,59159,93.44,6.76143951047178,1.69035987761794
Ituverava,Interior,1,0,40246,94.15,2.48471897828356,0
Jaú,Interior,10,0,147505,97.55,6.77943120572184,0
Jaborandi,Interior,1,0,6677,94.95,14.9767859817283,0
Jaboticabal,Interior,15,4,74221,98.28,20.2099136363024,5.38931030301397
Jacareí,Interior,28,1,227945,98.62,12.2836649191691,0.438702318541754
Jaci,Interior,8,0,6969,91.42,114.794088104463,0
Jaguariúna,Interior,5,0,54848,98.17,9.11610268378063,0
Jales,Interior,4,0,47254,94.1,8.46489186100648,0
Jandira,RMSP,37,3,123603,100,29.9345485141946,2.42712555520497
Jardinópolis,Interior,5,0,42893,98.08,11.6569137155247,0
Jarinu,Interior,1,1,29820,86.16,3.35345405767941,3.35345405767941
Joanópolis,Interior,1,0,12666,100,7.89515237644087,0
José Bonifácio,Interior,2,0,35981,92.33,5.55848920263472,0
Jundiaí,Interior,80,13,407016,97.08,19.6552469681782,3.19397763232895
Junqueirópolis,Interior,1,0,20065,85.06,4.9838026414154,0
Juquiá,Interior,1,0,18828,65.38,5.31123858083705,0
Juquitiba,RMSP,3,3,30401,85.81,9.86809644419591,9.86809644419591
Laranjal Paulista,Interior,5,2,27834,90.56,17.963641589423,7.1854566357692
Lavrinhas,Interior,2,1,7167,94.06,27.9056788056369,13.9528394028185
Leme,Interior,6,3,100975,98.22,5.94206486754147,2.97103243377074
Lençóis Paulista,Interior,5,1,66343,98.23,7.53659014515473,1.50731802903095
Limeira,Interior,20,1,296300,97.66,6.74991562605467,0.337495781302734
Lins,Interior,13,3,75087,98.83,17.3132499633758,3.99536537616365
Lorena,Interior,4,0,86639,97.56,4.6168584586618,0
Louveira,Interior,8,0,48268,97.63,16.5741277865252,0
Lucélia,Interior,4,2,21019,87.45,19.0304010657025,9.51520053285123
Macatuba,Interior,1,0,16932,97.8,5.90597684857075,0
Macedônia,Interior,1,0,3574,79.57,27.9798545047566,0
Mairinque,Interior,1,0,46323,80.26,2.15875483021393,0
Mairiporã,RMSP,21,4,98622,92.18,21.293423374095,4.05589016649429
