Localidades,Pop ,Pop Masc,Pop Fem ,Pop Urbana ,Pop Rural ,Grau Urban(porc)
Urupês,13164,6498,6666,12090,1074,91.84
Valentim Gentil,12770,6382,6388,11859,911,92.87
Valinhos,124742,61300,63442,119288,5454,95.63
Valparaíso,23988,13051,10937,23353,635,97.35
Vargem,10000,5068,4932,6290,3710,62.9
Vargem Grande do Sul,41501,20494,21007,39933,1568,96.22
Vargem Grande Paulista,52762,26108,26654,52762,,100
Várzea Paulista,120535,59859,60676,120535,,100
Vera Cruz,10524,5146,5378,9460,1064,89.89
Vinhedo,77521,38238,39283,75085,2436,96.86
Viradouro,18347,9192,9155,17810,537,97.07
Vista Alegre do Alto,8014,4087,3927,7594,420,94.76
Vitória Brasil,1760,890,870,1562,198,88.75
Votorantim,119824,59303,60521,115254,4570,96.19
Votuporanga,91760,44664,47096,89189,2571,97.2
Zacarias,2560,1271,1289,2183,377,85.27
