Municipio,Grande.regiao,Num.Casos,Num.obitos,Pop,Grau.Urb,Infect.100mil,obitos.100mil
Barra do Turvo,Interior,1,0,7687,46.72,13.0089761935736,0
Eldorado,Interior,2,1,15236,49.21,13.1268049356787,6.56340246783933
Ibiúna,Interior,6,0,76430,36.9,7.85032055475599,0
Pedra Bela,Interior,1,0,5964,28.69,16.7672702883971,0
Piedade,Interior,7,0,53536,47.14,13.0753138075314,0
